"model_id","sample","outcome","family","lag_control","term","estimate","std_error","statistic","p_value","odds_ratio","stars","nobs"
"NIH_NC_baseline_full_sample","NIH","NC","ols","baseline_full_sample","RS:ID015F",0.216977329448974,0.0196768417376816,11.0270404337022,2.83828932937253e-28,NA,"***",1326373
"NIH_NC_baseline_lag_sample","NIH","NC","ols","baseline_lag_sample","RS",-0.0839799503962095,0.0101966803076698,-8.23600896196001,1.78209615084984e-16,NA,"***",1326373
"NIH_NC_baseline_lag_sample","NIH","NC","ols","baseline_lag_sample","ID015F",-0.0488356550125682,0.00308825705828534,-15.8133387509143,2.54771889357603e-56,NA,"***",1326373
"NIH_NC_baseline_lag_sample","NIH","NC","ols","baseline_lag_sample","RS:ID015F",0.216977329448974,0.0196768417376816,11.0270404337022,2.83828932937253e-28,NA,"***",1326373
"NIH_NC_plus_fund_lag","NIH","NC","ols","plus_fund_lag","RS",-0.092469321162933,0.010160556652803,-9.10081251674565,8.97773284700538e-20,NA,"***",1326373
"NIH_NC_plus_fund_lag","NIH","NC","ols","plus_fund_lag","ID015F",-0.0538589730633684,0.00307963481939191,-17.4887531223598,1.77659163270483e-68,NA,"***",1326373
"NIH_NC_plus_fund_lag","NIH","NC","ols","plus_fund_lag","fund_lag",-0.00777469206374318,8.14094718560055e-05,-95.5010748318673,0,NA,"***",1326373
"NIH_NC_plus_fund_lag","NIH","NC","ols","plus_fund_lag","RS:ID015F",0.223689208767074,0.0196117383239632,11.4058838167218,3.92055719100229e-30,NA,"***",1326373
"NIH_Hit15_baseline_full_sample","NIH","Hit15","logit","baseline_full_sample","RS",-0.268917504615019,0.0448289561890793,-5.99874562059354,1.98847571611009e-09,0.76420629654051,"***",1326369
"NIH_Hit15_baseline_full_sample","NIH","Hit15","logit","baseline_full_sample","ID015F",-0.169623715077766,0.0137143185934057,-12.3683662387228,3.87625575140392e-35,0.843982334681175,"***",1326369
"NIH_Hit15_baseline_full_sample","NIH","Hit15","logit","baseline_full_sample","RS:ID015F",0.710859917946392,0.0862691752230322,8.24002218763077,1.72178722986214e-16,2.03574107647492,"***",1326369
"NIH_Hit15_baseline_lag_sample","NIH","Hit15","logit","baseline_lag_sample","RS",-0.268917504615019,0.0448289561890793,-5.99874562059354,1.98847571611009e-09,0.76420629654051,"***",1326369
"NIH_Hit15_baseline_lag_sample","NIH","Hit15","logit","baseline_lag_sample","ID015F",-0.169623715077766,0.0137143185934057,-12.3683662387228,3.87625575140392e-35,0.843982334681175,"***",1326369
"NIH_Hit15_baseline_lag_sample","NIH","Hit15","logit","baseline_lag_sample","RS:ID015F",0.710859917946392,0.0862691752230322,8.24002218763077,1.72178722986214e-16,2.03574107647492,"***",1326369
"NIH_Hit15_plus_fund_lag","NIH","Hit15","logit","plus_fund_lag","RS",-0.294712821321321,0.0448777373289448,-6.56701604987648,5.13335158305462e-11,0.744745431767725,"***",1326369
"NIH_Hit15_plus_fund_lag","NIH","Hit15","logit","plus_fund_lag","ID015F",-0.188791697363854,0.0137376316768921,-13.7426669897853,5.6360738710683e-43,0.827958954766315,"***",1326369
"NIH_Hit15_plus_fund_lag","NIH","Hit15","logit","plus_fund_lag","fund_lag",-0.0232513078240766,0.000357097640737888,-65.1119054610143,0,0.977016920922154,"***",1326369
"NIH_Hit15_plus_fund_lag","NIH","Hit15","logit","plus_fund_lag","RS:ID015F",0.75075447478801,0.0863342289512136,8.69590756653717,3.44068459982992e-18,2.11859784243528,"***",1326369
