"model_id","sample","outcome","family","lag_control","term","estimate","std_error","statistic","p_value","odds_ratio","stars","nobs"
"NSFC_Hit15_plus_fund_lag","NSFC","Hit15","logit","plus_fund_lag","fund_lag",-0.0642328002055035,0.00159952678827621,-40.1573769669256,0,0.937786657190132,"***",1293553
"NSFC_Hit15_plus_fund_lag","NSFC","Hit15","logit","plus_fund_lag","RS:ID015F",0.673781760689325,0.0812829956047988,8.28933229731443,1.13885963663079e-16,1.96164177061697,"***",1293553
"NIH_NC_baseline_full_sample","NIH","NC","ols","baseline_full_sample","RS",-0.0793719599696612,0.0101449684417056,-7.82377593639088,5.12943634478555e-15,NA,"***",1533031
"NIH_NC_baseline_full_sample","NIH","NC","ols","baseline_full_sample","ID015F",-0.0302340195712566,0.00257400405156537,-11.7459098608916,7.43541922370624e-32,NA,"***",1533031
"NIH_NC_baseline_full_sample","NIH","NC","ols","baseline_full_sample","RS:ID015F",0.148661434177925,0.0168930409738558,8.80015826682703,1.36760460286303e-18,NA,"***",1533031
"NIH_NC_baseline_lag_sample","NIH","NC","ols","baseline_lag_sample","RS",-0.0793719599696612,0.0101449684417056,-7.82377593639088,5.12943634478555e-15,NA,"***",1533031
"NIH_NC_baseline_lag_sample","NIH","NC","ols","baseline_lag_sample","ID015F",-0.0302340195712566,0.00257400405156537,-11.7459098608916,7.43541922370624e-32,NA,"***",1533031
"NIH_NC_baseline_lag_sample","NIH","NC","ols","baseline_lag_sample","RS:ID015F",0.148661434177925,0.0168930409738558,8.80015826682703,1.36760460286303e-18,NA,"***",1533031
"NIH_NC_plus_fund_lag","NIH","NC","ols","plus_fund_lag","RS",-0.0848161382366436,0.0101109053558379,-8.38857997891081,4.924579989492e-17,NA,"***",1533031
"NIH_NC_plus_fund_lag","NIH","NC","ols","plus_fund_lag","ID015F",-0.0226065352694166,0.00256793909386465,-8.80337673250442,1.32893414982811e-18,NA,"***",1533031
"NIH_NC_plus_fund_lag","NIH","NC","ols","plus_fund_lag","fund_lag",-0.00732212375264923,7.45107356865028e-05,-98.2693793744891,0,NA,"***",1533031
"NIH_NC_plus_fund_lag","NIH","NC","ols","plus_fund_lag","RS:ID015F",0.135509695373997,0.0168433377728507,8.04529940570457,8.60954256067365e-16,NA,"***",1533031
"NIH_Hit15_baseline_full_sample","NIH","Hit15","logit","baseline_full_sample","RS",-0.243275759780235,0.0445097741437433,-5.46567050631578,4.61160261515548e-08,0.784055273047892,"***",1533027
"NIH_Hit15_baseline_full_sample","NIH","Hit15","logit","baseline_full_sample","ID015F",-0.0949249598333757,0.0108694799156577,-8.73316484044784,2.47643769890254e-18,0.909441176525173,"***",1533027
"NIH_Hit15_baseline_full_sample","NIH","Hit15","logit","baseline_full_sample","RS:ID015F",0.394107046071211,0.0711568774933465,5.53856577121532,3.04958720099493e-08,1.48305929584896,"***",1533027
"NIH_Hit15_baseline_lag_sample","NIH","Hit15","logit","baseline_lag_sample","RS",-0.243275759780235,0.0445097741437433,-5.46567050631578,4.61160261515548e-08,0.784055273047892,"***",1533027
"NIH_Hit15_baseline_lag_sample","NIH","Hit15","logit","baseline_lag_sample","ID015F",-0.0949249598333757,0.0108694799156577,-8.73316484044784,2.47643769890254e-18,0.909441176525173,"***",1533027
"NIH_Hit15_baseline_lag_sample","NIH","Hit15","logit","baseline_lag_sample","RS:ID015F",0.394107046071211,0.0711568774933465,5.53856577121532,3.04958720099493e-08,1.48305929584896,"***",1533027
"NIH_Hit15_plus_fund_lag","NIH","Hit15","logit","plus_fund_lag","RS",-0.257963377952436,0.0445755753269344,-5.78710148013645,7.16113204443289e-09,0.772623526644365,"***",1533027
"NIH_Hit15_plus_fund_lag","NIH","Hit15","logit","plus_fund_lag","ID015F",-0.0714513430370379,0.0108802930731008,-6.56704213360631,5.13245281871178e-11,0.931041578148343,"***",1533027
"NIH_Hit15_plus_fund_lag","NIH","Hit15","logit","plus_fund_lag","fund_lag",-0.0217764314144272,0.00031721877681697,-68.6479899863928,0,0.978458963286381,"***",1533027
"NIH_Hit15_plus_fund_lag","NIH","Hit15","logit","plus_fund_lag","RS:ID015F",0.365242685376179,0.0711722514854988,5.13181299948895,2.86964530486116e-07,1.440863642257,"***",1533027
